id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_130486_9fb9238c,SET-CHRIS-WH-XL,SET-CHRIS-WH-XL,166.87,0.00
__export__.product_product_130478_c0dd34b2,SET-CHRIS-WH-M,SET-CHRIS-WH-M,166.87,0.00
__export__.product_product_130482_35eeb7e9,SET-CHRIS-WH-L,SET-CHRIS-WH-L,166.87,0.00
__export__.product_product_130550_431aabfa,ZP-0907-BRW/10,ZP-0907-BRW/10,152.09,0.00
__export__.product_product_130541_b474d891,ZP-0907-BRW/9.5,ZP-0907-BRW/9.5,152.09,0.00
__export__.product_product_130532_fae32b5c,ZP-0907-BRW/9,ZP-0907-BRW/9,152.09,0.00
__export__.product_product_130523_935bcb17,ZP-0907-BRW/8.5,ZP-0907-BRW/8.5,152.09,0.00
__export__.product_product_130505_b1ae0888,ZP-0907-BRW/7.5,ZP-0907-BRW/7.5,152.09,0.00
__export__.product_product_130496_5261c260,ZP-0907-BRW/7,ZP-0907-BRW/7,152.09,0.00
__export__.product_product_130487_4fcb6618,ZP-0907-BRW/6.5,ZP-0907-BRW/6.5,152.09,0.00
__export__.product_product_130554_8c5f67fb,VE-LUCERO-NVY/XL,VE-LUCERO-NVY/XL,138.17,0.00
__export__.product_product_130551_b794fcd2,VE-LUCERO-NVY/L,VE-LUCERO-NVY/L,138.17,0.00
__export__.product_product_130555_65b50f84,VE-NINO-BGE/S,VE-NINO-BGE/S,108.61,0.00
__export__.product_product_130559_21116231,VE-NINO-BGE/M,VE-NINO-BGE/M,108.61,0.00
__export__.product_product_130563_2ceb2d66,VE-NINO-BGE/L,VE-NINO-BGE/L,108.61,0.00
__export__.product_product_130564_b3d785dc,VE-ARIANA-WH/M,VE-ARIANA-WH/M,138.17,0.00
__export__.product_product_130567_35771892,VE-ARIANA-WH/L,VE-ARIANA-WH/L,138.17,0.00
__export__.product_product_130576_b7d51904,BL-RIVE-WH-/XL,BL-RIVE-WH-/XL,55.57,0.00
__export__.product_product_130568_d6c58241,BL-RIVE-WH-/M,BL-RIVE-WH-/M,55.57,0.00
__export__.product_product_130572_01aa5f8a,BL-RIVE-WH-/L,BL-RIVE-WH-/L,55.57,0.00
__export__.product_product_130585_34247fd1,BL-RIVE-CEL-/XL,BL-RIVE-CEL-/XL,55.57,0.00
__export__.product_product_130577_a10a65db,BL-RIVE-CEL-/M,BL-RIVE-CEL-/M,55.57,0.00
__export__.product_product_130581_57b2c797,BL-RIVE-CEL-/L,BL-RIVE-CEL-/L,55.57,0.00
__export__.product_product_130586_aefc4cf1,BL-VALE-MOK-S,BL-VALE-MOK-S,69.48,0.00
__export__.product_product_130590_1d4a3841,BL-VALE-MOK-M,BL-VALE-MOK-M,69.48,0.00
__export__.product_product_130594_9cfff634,BL-VALE-MOK-L,BL-VALE-MOK-L,69.48,0.00
__export__.product_product_130603_9cd6a01e,BL-BUTT-WH/XL,BL-BUTT-WH/XL,55.57,0.00
__export__.product_product_130595_f24ff655,BL-BUTT-WH/M,BL-BUTT-WH/M,55.57,0.00
__export__.product_product_130599_81fe94f3,BL-BUTT-WH/L,BL-BUTT-WH/L,55.57,0.00
__export__.product_product_130612_42d0a114,PT-23E312010-4/40,PT-23E312010-4/40,47.74,0.00
__export__.product_product_130616_3048ccf7,PT-24C29918-20/38,PT-24C29918-20/38,47.74,0.00
__export__.product_product_130625_54365e26,PT-23C25168-220/34,PT-23C25168-220/34,56.43,0.00
__export__.product_product_130650_175b2c5e,25C0905-81BC-2/52,2509058125095234,260.78,0.00
__export__.product_product_130675_22f56d74,25C29375-56BC-2/46,2529375562594628,260.78,0.00
__export__.product_product_130683_c5e44087,25C29375-56BC-2/48,2529375562594830,260.78,0.00
__export__.product_product_130691_ddbf946b,25C29375-56BC-2/50,2529375562595032,260.78,0.00
__export__.product_product_130699_ebbe74d4,25C29375-56BC-2/52,2529375562595234,260.78,0.00
__export__.product_product_130707_3d0e6c1a,25C29375-56BC-2/54,2529375562595436,260.78,0.00
__export__.product_product_130772_36229e64,CH-25B231291-1/58,252312911C125958,43.39,0.00
__export__.product_product_130764_a5f605f4,CH-25B231291-1/56,252312911C125956,43.39,0.00
__export__.product_product_130789_15ed2553,CH-25C0905-101/50,250905101C1250950,43.39,0.00
__export__.product_product_130674_77e90d77,25C0905-81BC-2/58,2509058125095840,260.78,0.00
__export__.product_product_130715_afa4664d,25C29375-56BC-2/56,2529375562595638,260.78,0.00
__export__.product_product_130723_13554d49,25C29375-56BC-2/58,2529375562595840,260.78,0.00
__export__.product_product_130830_ece6bf98,25C0905-101BC-2/48,25090510125094830,260.78,0.00
__export__.product_product_130838_2a552073,25C0905-101BC-2/50,25090510125095032,260.78,0.00
__export__.product_product_130846_44009791,25C0905-101BC-2/52,25090510125095234,260.78,0.00
__export__.product_product_130854_15f693fe,25C0905-101BC-2/54,25090510125095436,260.78,0.00
__export__.product_product_130862_e0e3e83e,25C0905-101BC-2/56,25090510125095638,260.78,0.00
__export__.product_product_130870_0da4cb8a,25C0905-101BC-2/58,25090510125095840,260.78,0.00
__export__.product_product_130773_8494c6a5,CH-25C0905-101/46,250905101C1250946,43.39,0.00
__export__.product_product_130879_a88d3357,CH-25C35289-93/48,253528993C125948,43.39,0.00
__export__.product_product_130968_f357d17a,CH-25C29375-56/58,252937556C125958,43.39,0.00
__export__.product_product_130871_5464c27a,CH-25C35289-93/46,253528993C125946,43.39,0.00
__export__.product_product_130952_c167bce8,CH-25C29375-56/54,252937556C125954,43.39,0.00
__export__.product_product_130944_540dccf6,CH-25C29375-56/52,252937556C125952,43.39,0.00
__export__.product_product_130960_692fc855,CH-25C29375-56/56,252937556C125956,43.39,0.00
__export__.product_product_131001_6768d1ec,25B231291-1BC-2/54,2523129112595436,260.78,0.00
__export__.product_product_131009_9c38aab6,25B231291-1BC-2/56,2523129112595638,260.78,0.00
__export__.product_product_130732_b8482980,CH-25B231291-1/48,252312911C125948,43.39,0.00
__export__.product_product_131017_f1436157,25B231291-1BC-2/58,2523129112595840,260.78,0.00
__export__.product_product_130911_263775c4,CH-25C35289-93/56,253528993C125956,43.39,0.00
__export__.product_product_130903_cb28418d,CH-25C35289-93/54,253528993C125954,43.39,0.00
__export__.product_product_130626_32af14e8,25C0905-81BC-2/46,2509058125094628,260.78,0.00
__export__.product_product_130634_a305efa7,25C0905-81BC-2/48,2509058125094830,260.78,0.00
__export__.product_product_130936_3ebd8b06,CH-25C29375-56/50,252937556C125950,43.39,0.00
__export__.product_product_130895_ce62d6cb,CH-25C35289-93/52,253528993C125952,43.39,0.00
__export__.product_product_130887_19e64ab0,CH-25C35289-93/50,253528993C125950,43.39,0.00
__export__.product_product_130928_4c102ed0,CH-25C29375-56/48,252937556C125948,43.39,0.00
__export__.product_product_130797_369276a7,CH-25C0905-101/52,250905101C1250952,43.39,0.00
__export__.product_product_130805_eb07c09b,CH-25C0905-101/54,250905101C1250954,43.39,0.00
__export__.product_product_130642_30805908,25C0905-81BC-2/50,2509058125095032,260.78,0.00
__export__.product_product_130969_0e029a90,25B231291-1BC-2/46,2523129112594628,260.78,0.00
__export__.product_product_130985_29b3c3b7,25B231291-1BC-2/50,2523129112595032,260.78,0.00
__export__.product_product_130822_d8f1f404,25C0905-101BC-2/46,25090510125094628,260.78,0.00
__export__.product_product_130993_326a51a3,25B231291-1BC-2/52,2523129112595234,260.78,0.00
__export__.product_product_131066_521f9ee4,25C35289-93BC-2/58,2535289932595840,260.78,0.00
__export__.product_product_130666_7005d933,25C0905-81BC-2/56,2509058125095638,260.78,0.00
__export__.product_product_130658_6b174457,25C0905-81BC-2/54,2509058125095436,260.78,0.00
__export__.product_product_130919_0eb059df,CH-25C35289-93/58,253528993C125958,43.39,0.00
__export__.product_product_130821_20f5db96,CH-25C0905-101/58,250905101C1250958,43.39,0.00
__export__.product_product_130977_93a2a544,25B231291-1BC-2/48,2523129112594830,260.78,0.00
__export__.product_product_130813_9bb8276f,CH-25C0905-101/56,250905101C1250956,43.39,0.00
__export__.product_product_130920_e7942b4d,CH-25C29375-56/46,252937556C125946,43.39,0.00
__export__.product_product_130748_e2b726e3,CH-25B231291-1/52,252312911C125952,43.39,0.00
__export__.product_product_130781_c262b168,CH-25C0905-101/48,250905101C1250948,43.39,0.00
__export__.product_product_130724_03e9e796,CH-25B231291-1/46,252312911C125946,43.39,0.00
__export__.product_product_130740_ebc99311,CH-25B231291-1/50,252312911C125950,43.39,0.00
__export__.product_product_130756_4ab9b7bf,CH-25B231291-1/54,252312911C125954,43.39,0.00
__export__.product_product_131115_a2df9d60,25E27112-6BC-2/58,2527112625095840,260.78,0.00
__export__.product_product_131018_d789070f,25C35289-93BC-2/46,2535289932594628,260.78,0.00
__export__.product_product_131026_1d33cf1d,25C35289-93BC-2/48,2535289932594830,260.78,0.00
__export__.product_product_131034_7529d308,25C35289-93BC-2/50,2535289932595032,260.78,0.00
__export__.product_product_131042_aec10759,25C35289-93BC-2/52,2535289932595234,260.78,0.00
