product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_mf3870_19,Corbata MF3870/19,9,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_mf3870_21,Corbata MF3870/21,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_23,Corbata MF3870/23,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_24,Corbata MF3870/24,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_25,Corbata MF3870/25,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_29,Corbata MF3870/29,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_34,Corbata MF3870/34,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_35,Corbata MF3870/35,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_38,Corbata MF3870/38,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_40,Corbata MF3870/40,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_45,Corbata MF3870/45,9,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_mf3870_5,Corbata MF3870/5,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_6,Corbata MF3870/6,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_65,Corbata MF3870/65,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_7,Corbata MF3870/7,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf7984_10,Corbata MF7984/10,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf7984_9,Corbata MF7984/9,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf8997_37,Corbata MF8997/37,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf8997_38,Corbata MF8997/38,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf8997_41,Corbata MF8997/41,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf90005_13,Corbata MF90005/13,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf90005_19,Corbata MF90005/19,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf90005_20,Corbata MF90005/20,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1072_34,Corbata P1072/34,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1072_35,Corbata P1072/35,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1072_36,Corbata P1072/36,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1072_40,Corbata P1072/40,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
