SKU,Nombre Odoo,Variant Values
188-B1-BC-1/46,Terno 188-B1-BC-1,Talla: 46
188-B1-BC-1/48,Terno 188-B1-BC-1,Talla: 48
188-B1-BC-1/50,Terno 188-B1-BC-1,Talla: 50
188-B1-BC-1/52,Terno 188-B1-BC-1,Talla: 52
188-B1-BC-1/54,Terno 188-B1-BC-1,Talla: 54
188-B1-BC-1/58,Terno 188-B1-BC-1,Talla: 58
19-1835,SUETER FALDA NINA (2-8),
19-22273,VESTIDO DE BANO NINA,
19-22274,VESTIDO DE BANO DE NINA,
19-22276,VESTIDO DE BANO DE NINA,
19-2412,TOP CAPRI KIDSCO,
20-22513T,BLUSA TODA NINA,
20-22514G,BLUSA PARA NINA,
20-27095G,BLUSA DE NINA,
20-27102G,BLUSA PARA NINA,
200-16-S1,Camisa 200,Talla: 16
2011-1-F/S,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: S
2011-23-F/M,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: M
2011-23-F/S,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: S
2011-23-F/XXL,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: XXL
2011-55-F/L,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: L
2011-55-F/M,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: M
2011-55-F/S,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: S
2011-55-F/XXL,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: XXL
2011-55-N/M,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: M
2011-55-N/S,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: S
21-0134,TOPS Y TORERO P/NINA,
21-0138,TOPS Y FALDA P/NINA,
21-0170,TOPS Y TORERO P/NINA,
22-20087,PIJAMA PARA NINA,
2279DW,VESTIDO CQBYCQ,
22A700112-2BC-2/48,Terno 22A700112-2BC-2,Talla: 48
22A700112-2BC-2/50,Terno 22A700112-2BC-2,Talla: 50
22A700112-2BC-2/52,Terno 22A700112-2BC-2,Talla: 52
22A700112-2BC-2/54,Terno 22A700112-2BC-2,Talla: 54
22A700112-2BC-2/56,Terno 22A700112-2BC-2,Talla: 56
22A700112-2BC-2/58,Terno 22A700112-2BC-2,Talla: 58
22C0905-17BC-2/46,Terno 22C0905-17BC-2,Talla: 46
22C0905-17BC-2/48,Terno 22C0905-17BC-2,Talla: 48
22C0905-17BC-2/50,Terno 22C0905-17BC-2,Talla: 50
22C0905-17BC-2/52,Terno 22C0905-17BC-2,Talla: 52
22C0905-17BC-2/54,Terno 22C0905-17BC-2,Talla: 54
22C0905-17BC-2/56,Terno 22C0905-17BC-2,Talla: 56
22C0905-4C-BC-2/46,Terno 22C0905-4C-BC-2,Talla: 46
22C0905-4C-BC-2/48,Terno 22C0905-4C-BC-2,Talla: 48
22C0905-4C-BC-2/54,Terno 22C0905-4C-BC-2,Talla: 54
22C27428-67BC-2/50,Terno 22C27428-67BC-2,Talla: 50
22C27428-67BC-2/52,Terno 22C27428-67BC-2,Talla: 52
22C27428-67BC-2/54,Terno 22C27428-67BC-2,Talla: 54
22C27428-67BC-2/58,Terno 22C27428-67BC-2,Talla: 58
22C27428-69BC-2/48,Terno 22C27428-69BC-2,Talla: 48
22C27428-69BC-2/50,Terno 22C27428-69BC-2,Talla: 50
22C27428-69BC-2/52,Terno 22C27428-69BC-2,Talla: 52
22C27428-69BC-2/54,Terno 22C27428-69BC-2,Talla: 54
22C27428-69BC-2/56,Terno 22C27428-69BC-2,Talla: 56
22E2712-1A-BC-2/46,Terno 22E2712-1A-BC-2,Talla: 46
22E2712-1A-BC-2/50,Terno 22E2712-1A-BC-2,Talla: 50
22E2712-1A-BC-2/52,Terno 22E2712-1A-BC-2,Talla: 52
22E2712-1A-BC-2/54,Terno 22E2712-1A-BC-2,Talla: 54
22E2712-1A-BC-2/58,Terno 22E2712-1A-BC-2,Talla: 58
22E2712-3A-BC-2/50,Terno 22E2712-3A-BC-2,Talla: 50
22E2712-3A-BC-2/52,Terno 22E2712-3A-BC-2,Talla: 52
