sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
23E4246-16/48,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,48,,,Bruno Cassini,Gris,23E424616202548,165.13,0.00,13.00,0.00,0.00,13.00,ok,0.95,blazer
23E4246-16/46,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,46,,,Bruno Cassini,Gris,23E424616202546,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
HD19152-4/46,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,46,,,Bruno Cassini,,HD1915204202546,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
23E4246-16-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,58,,,Bruno Cassini,Gris,23E424616202558PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
HD19152-4/56,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,56,,,Bruno Cassini,,HD1915204202556,165.13,0.00,6.00,0.00,0.00,6.00,ok,0.95,blazer
GEO1982-1/46,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,46,,,Bruno Cassini,Azul,G19820120251246,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
23E4246-16-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,56,,,Bruno Cassini,Gris,23E424616202556PT,173.83,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
GEO1982-4/56,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,56,,,Bruno Cassini,Verde,G19820420251256,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
GEO1982-1/54,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,54,,,Bruno Cassini,Azul,G19820120251254,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
GEO1982-4/46,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,46,,,Bruno Cassini,Verde,G19820420251246,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
