External ID,Name,Internal Reference,Barcode,available_in_pos,record_type,Variant Values
product_template_gem_mont_blanc_ors,GEMELOS MONT BLANC ORO ROSA,GEM-MONT BLANC-ORS,GEM-MONT BLANC-ORS,True,simple_product,
product_template_58010_gaf_bur,M. GAFAS P/DAMA BURBERRY,58010-GAF-BUR,58010GAFBU,True,simple_product,
product_template_6059_gaf_di,M. GAFAS P/DAMA DIOR,6059-GAF-DI,6059-GAF-DI,True,simple_product,
product_template_gg2601s_gaf_gucci,M. GAFAS P/DAMA GUCCI,GG2601S-GAF-GUCCI,GG2601S-GAF,True,simple_product,
product_template_suspender_men_dis_azl,SUSPENDER FOR MEN DISEÑO,SUSPENDER-MEN-DIS/AZL,SUSPENDERMENDIS/AZL,True,simple_product,
product_template_suspender_men_dis_rdaz,SUSPENDER FOR MEN DISEÑO,SUSPENDER-MEN-DIS/RDAZ,SUSPENDERMENDI/RDAZ,True,simple_product,
product_template_suspender_men_dis_blk,SUSPENDER FOR MEN DISEÑO,SUSPENDER-MEN-DIS/BLK,SUSPENDERMENDIS/BLK,True,simple_product,
product_template_mues_001,MUESTRAS TEXTILES,MUES-001,MUES-001,False,simple_product,
product_template_mebl_02,MESA BLANCA P/CAMISAS PEQUEÑA,MEBL-02,MEBL-02,False,simple_product,
product_template_mebl_01,MESA BLANCA P/CAMISAS GRANDE,MEBL-01,MEBL-01,False,simple_product,
product_template_cha_milano_beige_4xl,CHALECO MILANO BEIGE,CHA-MILANO BEIGE-4XL,CHA-MILANO BEIGE-4XL,True,simple_product,
product_template_pant_milano_beige_4xl,PANTALON ELEGANTE MILANO BEIGE,PANT-MILANO BEIGE-4XL,PANT-MILANO BEIGE-4XL,True,simple_product,
product_template_suspender_men_camisa,SUSPENDER DE CAMISA FOR MEN VARIOS MODELOS,SUSPENDER-MEN-CAMISA,SUSPHCAM,True,simple_product,
product_template_pb_6323,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,PB-6323,PB-6323,True,simple_product,
product_template_pb_2508,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,PB-2508,PB-2508,True,simple_product,
product_template_pb_1333,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,PB-1333,PB-1333,True,simple_product,
product_template_pb_1937,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,PB-1937,PB-1937,True,simple_product,
product_template_pb_1728,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,PB-1728,PB-1728,True,simple_product,
product_template_pb_7310,M. CARTERA P/DAMA VARIOS MODELOS,PB-7310,PB-7310,True,simple_product,
product_template_levas_cv,LEVAS BRUNO CARVEN VARIOS MODELOS,LEVAS-CV,LEVAS-CV,True,simple_product,
product_template_78001_gaf,M. GAFAS P/ HERMES,78001-GAF,78001-GAF,True,simple_product,
product_template_c_mont_blanc_2,H. CORREA P/CABALLERO MONT BLANC,C/MONT BLANC-2,C/MONT BLANC-2,True,simple_product,
product_template_c_mont_blanc_1,H. CORREA P/CABALLERO MONT BLANC,C/MONT BLANC-1,C/OMONT BLANC-1,True,simple_product,
product_template_gg0859_gaf,M. GAFAS P/DAMA GUCCI,GG0859-GAF,GG0859-GAF,True,simple_product,
product_template_6013_gaf,M. GAFAS P/DAMA DOLCE&GARBANA,6013-GAF,6013-GAF,True,simple_product,
product_template_8213_gaf,M. GAFAS P/DAMA HERMES,8213-GAF,8213-GAF,True,simple_product,
product_template_r5481n_gaf,M. GAFAS P/DAMA CHANNEL CUADRADO,R5481N-GAF,R5481N-GAF,True,simple_product,
product_template_6021_gaf,M. GAFAS P/DAMA BALENCIA,6021-GAF,6021-GAF,True,simple_product,
product_template_6010_gaf,M. GAFAS P/DAMA BALENCIA,6010-GAF,6010,True,simple_product,
product_template_pan_turquesa,PANUELO PARA HOMBRE - ACCESORIO TURQUESA,PAN-TURQUESA,PAN-TURQUESA,True,simple_product,
product_template_maleta_skayway,MALETA SKAYWAY,MALETA-SKAYWAY,MALETA-SKAYWAY,True,simple_product,
product_template_pul_25,PULSERA DE DAMAS,PUL-25,PUL-25,True,simple_product,
product_template_sujet_camisa,SUJETADOR DE CAMISA,SUJET-CAMISA,SUJET-CAMISA,True,simple_product,
product_template_2279dw,VESTIDO CQBYCQ,2279DW,2279DW,True,simple_product,
product_template_z_3125_pl_39,M. ZAPATO P/DAMA PLATA DFV,Z-3125-PL-39,Z-3125-PL-39,True,simple_product,
product_template_z_3125_pl_37,M. ZAPATO P/DAMA PLATA DFV,Z-3125-PL-37,Z-3125-PL-37,True,simple_product,
product_template_z_3130_pl_37,M. ZAPATO P/DAMA PLATA DFV,Z-3130-PL-37,Z-3130-PL-37,True,simple_product,
product_template_c_barona24,CORREAS PAR HOMBRE,C/BARONA24,C/BARONA24,True,simple_product,
product_template_c_ferragamo_1,H. CORREA P/CABALLERO FERRAGAMO,C/FERRAGAMO-1,C/OFERRAGAMO-1,True,simple_product,
product_template_c_ferragamo,CORREAS FERRAGAMO,C/FERRAGAMO,C/OFERRAGAMO,True,simple_product,
product_template_cr_25,M. COLLARES P/DAMA VARIOS MODELOS,CR-25,CR-25,True,simple_product,
product_template_cr_23,M. COLLARES P/DAMA VARIOS MODELOS,CR-23,CR-23,True,simple_product,
product_template_car_marc_jacobs,CARTERA MARC JACOBS,CAR-MARC JACOBS,CMARCJACO,True,simple_product,
product_template_jeans_431f309n_4,Terno JEANS-431F309N,JEANS-431F309N/4,JEANS-431F309N/O4,True,simple_product,
product_template_car_christian_dior,BOLSO,CAR-CHRISTIAN DIOR,CAR-CHRISTIAN DIOR,True,simple_product,
product_template_car_meikang,CARTERA MEIKANG BEIGE-CAFÉ-,CAR-MEIKANG,CAR-MEIKANG,True,simple_product,
product_template_smu11ws,M. GAFAS P/DAMA MIU MIU,SMU11WS,SMU11WS,True,simple_product,
product_template_sf1044,M. GAFAS P/DAMAS FERRAGAMO,SF1044,SF1044,True,simple_product,
product_template_gem_gucci,GEMELOS GUCCI,GEM-GUCCI,GEM-GUCCI,True,simple_product,
product_template_ar_10_wff,M. ARETES EAR WFF P/DAMA VARIOS MODELOS,AR-10 WFF,AR-10 WFF,True,simple_product,
product_template_gaf_porche_design,GAFAS PARA CABALLEROS PORCHE DESIGN,GAF-PORCHE DESIGN,GAF-PORCHE DESIGN,True,simple_product,
product_template_t1653,TWIST FRONT SATIN-ROJO S-M-L,T1653,T1653,True,simple_product,
product_template_t1532,TOP-BLACK S-M-L,T1532,T1532,True,simple_product,
product_template_r679,PANTALON NEGRO - FUSHA S-M-L,R679,R679,True,simple_product,
product_template_maletin_mont_blanc,MALETIN CABALLEROS MONT BLANC,MALETIN -MONT BLANC,MALEMONTBL,True,simple_product,
product_template_gem_bulgari,GEMELOS BULGARI,GEM-BULGARI,GEM-BULGARI,True,simple_product,
product_template_gem_mont_blanc,GEMELOS MONT BLANC,GEM-MONT BLANC,GEMMONTBL,True,simple_product,
product_template_pul_versage,PULSERA VERSAGE CABALLEROS,PUL-VERSAGE,PUL-VERSAGE,True,simple_product,
product_template_pul_hermes,PULSERA HERMES CABALLEROS,PUL-HERMES,PUL-HERMES,True,simple_product,
product_template_pul_rolex,PULSERA PUL-ROLEX CABALLEROS,PUL-ROLEX,PUL-ROLEX,True,simple_product,
product_template_pul_louis_vuitton,PULSERA LOUIS VUITTON CABALLEROS,PUL-LOUIS VUITTON,PULOUISVUI,True,simple_product,
product_template_pul_ferragamo,PULSERA FERRAGAMO CABALLEROS,PUL-FERRAGAMO,PULFERRAGA,True,simple_product,
product_template_pul_armani,PULSERA ARMANI CABALLEROS,PUL-ARMANI,PUL-ARMANI,True,simple_product,
product_template_pul_steffano,PULSERA STEFFANO P/CABALLEROS,PUL-STEFFANO,PUL-STEFFANO,True,simple_product,
product_template_pul_montblanc,PULSERA MONTBLAC CABALLEROS,PUL-MONTBLANC,PULMONTBLA,True,simple_product,
product_template_car_clavelina,CARTERA CLAVELINA NEGRA-DORADA,CAR-CLAVELINA,CAR-VLAVELINA,True,simple_product,
product_template_cart_fendy,CARTERA FENDY,CART-FENDY,CART-FENDY,True,simple_product,
product_template_cart_marc_jacobs,CARTERA MARC JACOBS MULTI COLORES,CART-MARC JACOBS,CMARJACOBS,True,simple_product,
product_template_c_kerly,CORREA PARA DAMA,C/KERLY,C/KERLY,True,simple_product,
product_template_bl_carolina,BLUSA CAROLINA PISTACHO,BL-CAROLINA,BL-CAROLINA,True,simple_product,
product_template_suspender_men_cof,SUSPENDER FOR MEN VARIOS MODELOS COFFE,SUSPENDER-MEN/COF,SUSPENDER-MEN/COF,True,simple_product,
product_template_suspender_men_bg,USPENDER FOR MEN VARIOS MODELOS BEIGE,SUSPENDER-MEN/BG,SUSPENDER-MEN/OBG,True,simple_product,
product_template_gf_5002,M. GAFAS P/DAMA VARIOS MODELOS,GF-5002,GF-5002,True,simple_product,
product_template_r82597,M. GAFAS P/DAMA VARIOS MODELOS,R82597,R82597,True,simple_product,
product_template_r5408,M. GAFAS P/DAMA VARIOS MODELOS,R5408,R5408,True,simple_product,
product_template_r86239,M. GAFAS P/DAMA VARIOS MODELOS,R86239,R86239,True,simple_product,
product_template_r82524,M. GAFAS P/DAMA VARIOS MODELOS,R82524,R82524,True,simple_product,
product_template_r9238,M. GAFAS P/DAMA VARIOS MODELOS,R9238,R9238,True,simple_product,
product_template_fund_rock,FUNDA. ARETES P/DAMA,FUND-ROCK,FUND-ROCK,True,simple_product,
product_template_caja_rok,CAJITA ARETES P/DAMA,CAJA-ROK,CAJA-ROK,True,simple_product,
product_template_cart_dior_22,M. CARTERA DIOR P/DAMA,CART-DIOR-22,CART-DIOR-22,True,simple_product,
product_template_di_val_942_84_37,ZAPATOS P/DAMA DI VALENTINA NARANJA,DI-VAL-942/84-37,DI-VAL-942/O84-37,True,simple_product,
product_template_di_val_942_82_37,ZAPATOS P/DAMA DI VALENTINA NEGRO,DI-VAL-942/82-37,DI-VAL-942/O82-37,True,simple_product,
product_template_di_val_942_83_37,ZAPATOS P/DAMA DI VALENTINA BLANCO,DI-VAL-942/83-37,DI-VAL-942/O83-37,True,simple_product,
product_template_di_val_942_164_37,ZAPATOS P/DAMA DI VALENTINA ROSADO,DI-VAL-942/164-37,DI-VAL-942/O164-37,True,simple_product,
product_template_di_val_942_165_37,ZAPATOS P/DAMA DI VALENTINA BEIGE,DI-VAL-942/165-37,DI-VAL-942/O165-37,True,simple_product,
product_template_ct_lvs,CINTA LEVANTA SENOS 5CM,CT-LVS,CT-LVS,True,simple_product,
product_template_cart_crz_2022_1,M. CARTERA CRUZADA P/DAMA VARIOS MODELOS,CART-CRZ-2022-1,CART-CRZ-2022-1,True,simple_product,
product_template_pin_a01_fuc,PIN ACCESORIO P/CABALLERO FUCSIA,PIN-A01-FUC,PIN-A01-FUC,True,simple_product,
product_template_pan_palo_rosa,PANUELO PARA HOMBRE PALO DE ROSA,PAN-PALO-ROSA,PAN-PALO-ROSA,True,simple_product,
product_template_cart_oc_crz,M. CARTERA CRUZADA P/DAMA VARIOS MODELOS,CART-OC-CRZ,CART-OC-CRZ,True,simple_product,
product_template_cart_yis_01,M. CARTERA YIS P/DAMA VARIOS MODELOS,CART-YIS-01,CART-YIS-01,True,simple_product,
product_template_cart_oc_baul,M. CARTERA BAUL P/DAMA VARIOS MODELOS,CART-OC-BAUL,CART-OC-BAUL,True,simple_product,
product_template_cart_oc_001,M. CARTERA P/DAMA VARIOS MODELOS,CART-OC-001,CART-OC-001,True,simple_product,
