source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
DI-VAL-942/83-37,,ZAPATOS P/DAMA DI VALENTINA BLANCO,Talla,37,Value not found in Odoo catalog
DI-VAL-942/164-37,,ZAPATOS P/DAMA DI VALENTINA ROSADO,Talla,37,Value not found in Odoo catalog
DI-VAL-942/165-37,,ZAPATOS P/DAMA DI VALENTINA BEIGE,Talla,37,Value not found in Odoo catalog
CART-CRZ-2022-1,,M. CARTERA CRUZADA P/DAMA VARIOS MODELOS,Talla,1,Value not found in Odoo catalog
CART-YIS-01,,M. CARTERA YIS P/DAMA VARIOS MODELOS,Talla,01,Value not found in Odoo catalog
CART-OC-001,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,001,Value not found in Odoo catalog
JY-35,,M. JOYERO P/DAMA VARIOS MODELOS,Talla,35,Value not found in Odoo catalog
JY-24,,M. JOYERO P/DAMA VARIOS MODELOS,Talla,24,Value not found in Odoo catalog
CR-25,,M. COLLARES P/DAMA VARIOS MODELOS,Talla,25,Value not found in Odoo catalog
CR-23,,M. COLLARES P/DAMA VARIOS MODELOS,Talla,23,Value not found in Odoo catalog
AR-06,,M. ARETES P/DAMA VARIOS MODELOS,Talla,06,Value not found in Odoo catalog
CORREA-CA3-1119,,CORREAS CINT CUE NAP # 35 CAFÉ 3,Talla,1119,Value not found in Odoo catalog
PB-6323,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,6323,Value not found in Odoo catalog
ONB-230,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,230,Value not found in Odoo catalog
BR-1060,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1060,Value not found in Odoo catalog
BR-1047,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1047,Value not found in Odoo catalog
ONB-692,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,692,Value not found in Odoo catalog
JN-0473,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,0473,Value not found in Odoo catalog
CN-4056,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,4056,Value not found in Odoo catalog
AB-3764,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,3764,Value not found in Odoo catalog
VB-0600,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,0600,Value not found in Odoo catalog
HN-8852,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,8852,Value not found in Odoo catalog
B-0531,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,0531,Value not found in Odoo catalog
25B-1002,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1002,Value not found in Odoo catalog
PB-2508,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,2508,Value not found in Odoo catalog
