External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_car_coach_ne_lab,CARTERA COACH LABRADA NEGRA,Goods,Sin Categoria,62.52,0.00,True,True,True,True,,,
product_template_car_coach_cr,CARTERA COACH CREMA DE MANO,Goods,Sin Categoria,70.35,0.00,True,True,True,True,,,
product_template_car_coach_bl,CARTERA COACH BLACK DE MANO,Goods,Sin Categoria,70.35,0.00,True,True,True,True,Color,Negro,
product_template_car_coach_cha,CARTERA COACH CHAROL,Goods,Sin Categoria,62.52,0.00,True,True,True,True,,,
product_template_car_chanel_bge,CARTERA CHANEL BEIGE,Goods,Sin Categoria,86.87,0.00,True,True,True,True,,,
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Talla,46,
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Color,Azul,
product_template_pt_23e312010_4,Pantalon PT-23E312010-4,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,"28,30,40",
product_template_pt_23e312010_4,Pantalon PT-23E312010-4,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_14038,M. GAFAS CHANEL VARIOS MODELOS,Goods,Sin Categoria,14.70,0.00,True,True,True,True,,,
product_template_14040,M. GAFAS CHANEL VARIOS MODELOS,Goods,Sin Categoria,0.00,0.00,True,True,True,True,,,
product_template_68009,M. GAFAS SAINT LAURENT VARIOS MODELOS,Goods,Sin Categoria,14.70,0.00,True,True,True,True,,,
product_template_rw01n,M. GAFAS DIOR VARIOS MODELOS,Goods,Sin Categoria,14.70,0.00,True,True,True,True,,,
product_template_36231,M. GAFAS CHANEL P/DAMA VARIOS MODELOS,Goods,Ropa / Mujeres,14.70,0.00,True,True,True,True,,,
product_template_gem_givenchy_gold,GEMELOS GIVENCHY GOLD,Goods,Sin Categoria,130.35,0.00,True,True,True,True,,,
product_template_gem_hublot_pl,GEMELOS HUBLOT PLATA,Goods,Sin Categoria,130.35,0.00,True,True,True,True,,,
product_template_gem_hublot_blk,GEMELOS HUBLOT BLACK,Goods,Sin Categoria,130.35,0.00,True,True,True,True,Color,Negro,
product_template_gem_hublot_gld,GEMELOS HUBLOT GOLD,Goods,Sin Categoria,130.35,0.00,True,True,True,True,,,
product_template_gem_rolex_gold,GEMELOS ROLEX GOLD,Goods,Sin Categoria,130.35,0.00,True,True,True,True,,,
product_template_gem_rolex_pl,GEMELOS ROLEX PLATA,Goods,Sin Categoria,130.35,0.00,True,True,True,True,,,
product_template_pan_sky_lila,PANUELO PARA HOMBRE BEIGE,Goods,Sin Categoria,10.00,0.00,True,True,True,True,,,
product_template_pt_24c29918_20,Pantalon PT-24C29918-20,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,"30,38",
product_template_pt_24c29918_20,Pantalon PT-24C29918-20,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,
