odoo_ext_id,tmpl_id,tmpl_name,variant_values,reason
__export__.product_product_88760_0542b02e,__import__.product_template_tl_x25_502c_a,H. BERMUDA P/HOMBRE TED LAPIDUS KHAKI,,Not present in Phase 2 or simple CSV
__export__.product_product_88808_9de42fbd,__import__.product_template_tl_x25_502b_a,H. BERMUDA P/HOMBRE TED LAPIDUS NAVY,,Not present in Phase 2 or simple CSV
__export__.product_product_85904_b4389bda,__import__.product_template_17605bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI BLACK 34-35,"Talla: 19.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85906_46e2a0cd,__import__.product_template_17605bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI BLACK 34-35,"Talla: 20,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85831_5d3d26d5,__import__.product_template_17604bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI DARK BLUE 32-33,"Talla: 18,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85836_2ffb2714,__import__.product_template_17604bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI DARK BLUE 32-33,"Talla: 19.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85838_193bde68,__import__.product_template_17604bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI DARK BLUE 32-33,"Talla: 20,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85872_f0e5dbdd,__import__.product_template_17601bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI WHITE 32-33,"Talla: 19,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85874_0d8f82d9,__import__.product_template_17601bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI WHITE 32-33,"Talla: 20,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85730_8485f6be,__import__.product_template_17605dc,H. CAMISA D/P BLACK BRUNO CASSINI 32-33,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87129_991ffe89,__import__.product_template_8504dc,H. CAMISA D/P BLUE BRUNO CASSINI 32-33,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87140_192719c8,__import__.product_template_8504dc,H. CAMISA D/P BLUE BRUNO CASSINI 32-33,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_88470_1c57c01f,__import__.product_template_a151_82dc,H. CAMISA D/P BRUNO CASSINI BLACK 32-33,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_88479_2adff488,__import__.product_template_a151_82dc,H. CAMISA D/P BRUNO CASSINI BLACK 32-33,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_93305_cf98d3e2,__import__.product_template_12001dc,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (12001dc),Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_93306_de4d31f9,__import__.product_template_12001dc,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (12001dc),Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_85851_945a7fc1,__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85855_a6e18eee,__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,"Talla: 15.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85857_ef6e0ed9,__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,"Talla: 16,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85858_028e4744,__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,"Talla: 16.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85860_daada5b4,__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,"Talla: 17,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87237_226a2a50,__import__.product_template_17601dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33 (17601dc),"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87248_883aeecc,__import__.product_template_17601dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33 (17601dc),"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87184_52a50003,__import__.product_template_a156_1dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33 (a156_1dc),"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_88914_7c79eaa9,__import__.product_template_lbpc_a03_217s_rs,H. CAMISA M/C LONG BEACH ROSE,,Not present in Phase 2 or simple CSV
__export__.product_product_94790_02309d8f,__import__.product_template_eft_dc_bu,H. CAMISA P/CABALLERO D/P BLUE 34-35 BRUNO CASSINI,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94791_c68306c5,__import__.product_template_eft_dc_bu,H. CAMISA P/CABALLERO D/P BLUE 34-35 BRUNO CASSINI,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_94788_5940c7b0,__import__.product_template_l21sw_1,H. CAMISA P/CABALLERO M/C WHITE 34-35 BRUNO CASSINI,,Not present in Phase 2 or simple CSV
__export__.product_product_94760_590c6a47,__import__.product_template_58c_29c_bu,H. CAMISA P/CABALLERO P/S BLUE 32-33 BRUNO CASSINI,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_94763_218ffa50,__import__.product_template_3_2_d_17_bu,H. CAMISA P/CABALLERO P/S BLUE 32-33 BRUNO CASSINI (3_2_d_17_bu),,Not present in Phase 2 or simple CSV
__export__.product_product_94764_27b8db00,__import__.product_template_enstdo_4_bu,H. CAMISA P/CABALLERO P/S BLUE 32-33 BRUNO CASSINI (enstdo_4_bu),,Not present in Phase 2 or simple CSV
__export__.product_product_94754_f11d183c,__import__.product_template_3_2_d_9_bu,H. CAMISA P/CABALLERO P/S BLUE 34-35 BRUNO CASSINI,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_94787_09d9489d,__import__.product_template_rl_bl,H. CAMISA P/CABALLERO P/S LIGHT BLUE 32-33 BRUNO CASSINI,,Not present in Phase 2 or simple CSV
__export__.product_product_94777_cfb13e25,__import__.product_template_14c_cpt_bn,H. CAMISA P/CABALLERO P/S NAVY 34-35 BRUNO CASSINI,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_94766_a3439c4e,__import__.product_template_3_2mh_or,H. CAMISA P/CABALLERO P/S ORANGE 34-35 BRUNO CASSINI,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94767_5f9fcc8d,__import__.product_template_3_2mh_or,H. CAMISA P/CABALLERO P/S ORANGE 34-35 BRUNO CASSINI,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_94780_d1c9b2b8,__import__.product_template_esns_pk,H. CAMISA P/CABALLERO P/S PINK 32-33 BRUNO CASSINI,,Not present in Phase 2 or simple CSV
__export__.product_product_94771_5824d256,__import__.product_template_3_2tc_rd,H. CAMISA P/CABALLERO P/S RED 34-35 BRUNO CASSINI,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_88485_7f640760,__import__.product_template_a151_82bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (a151_82bg),Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
