DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
008-BLACK-1/54;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;8,7;CASSINI TERNOS - CABALLEROS;1,00;3,00;;;;;;;;;4,00
008-BLACK-1/56;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;26,06;CASSINI TERNOS - CABALLEROS;3,00;5,00;;;;;;;;;8,00
008-BLACK-1/58;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;18,58;CASSINI TERNOS - CABALLEROS;1,00;1,00;;;;;;1,00;;;3,00
008-BLACK-2-BC-2/46;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;42,86;CASSINI TERNOS - CABALLEROS;1,00;;;;;;;1,00;;;2,00
008-BLACK-2-BC-2/48;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;40,66;CASSINI TERNOS - CABALLEROS;2,00;;;;;;;1,00;;;3,00
008-BLACK-2-BC-2/50;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;42,64;CASSINI TERNOS - CABALLEROS;4,00;;;;;;;1,00;;;5,00
008-BLACK-2-BC-2/52;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;42,64;CASSINI TERNOS - CABALLEROS;3,00;;;;;;;;;;3,00
008-BLACK-2-BC-2/54;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;42,64;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-2-BC-2/56;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK;Unidad;20251209-HALOTEX-CASSINI;260,78;42,64;CASSINI TERNOS - CABALLEROS;2,00;;;;;;;1,00;;;3,00
008-BLACK-2-BC-2/58;TERNO / CABALLERO ;H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;20251209-HALOTEX-CASSINI;260,78;42,64;CASSINI TERNOS - CABALLEROS;1,00;;;;;;;;;;1,00
008-BLACK-3-BC-2/10;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;133,84;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-3-BC-2/12;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;133,84;32,26;CASSINI TERNOS NIÑOS;;;;;;;1,00;;;;1,00
008-BLACK-3-BC-2/14;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;133,84;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-3-BC-2/16;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;133,84;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-3-BC-2/18;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;223,12;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-3-BC-2/20;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;223,12;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-3-BC-2/8;TERNO/NIÑO;TERNO P/NIÑO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;133,84;32,26;CASSINI TERNOS NIÑOS;;;;;;;;;;;0,00
008-BLACK-B-BC-2/60;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,25;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
