sku,nombre_contifico,codigo_barra,categoria_id,marca_nombre,pvp1,costo,stock_total_contifico,estado_contifico,motivo_exclusion
17PE042-015/16.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 32-33,759084798951,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/16.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 34-35,759084799040,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/17 S.1,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 32-33,759084798968,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/17 S.2,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 34-35,759084799057,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/17.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 34-35,759084799064,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/15. S.1,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799101,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/15.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799118,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/16 S.1,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799125,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/16 S.2,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799217,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/16.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799132,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/16.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON GREY 33 -35,759084799224,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/17 S.1,CAMISA DE VESTIR P/H 100 ALGODON GREY 32-33,759084799149,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
15560-32,BRASSIER CHAMELA,15560-32,wJvaMzjNi5D9bpzg,,35.63,0.00,0.00,A,stock_total_0
15685-S,SALIDA DE BANO CHAMELA,,wJvaMzjNi5D9bpzg,,43.90,0.00,0.00,A,stock_total_0
15715-S,VEST. / BANO CHAMELA,15715-S,wJvaMzjNi5D9bpzg,,59.91,0.00,0.00,A,stock_total_0
15723,BLUSA I JOAH,15723,RYWb40xjCJE6bZ1m,,37.30,0.00,0.00,A,stock_total_0
15757,CARDIGAN I JOAH,,RYWb40xjCJE6bZ1m,,45.19,0.00,0.00,A,stock_total_0
1585-11BC-2/52,TERNO P/CABALLEROS 2 BOTONES BRUNO CASSINI,1585-11BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
1591-9BC-2/52,TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI,1591-9BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
1594-11BC-2/52,TERNO P/CABALLEROS 2 BOTONES BRUNO CASSINI,1594-11BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
1596-11BC-2/52,TERNO BRUNO CASSINI 2 BOTONES BRUNO CASSINI,1596-11BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
15970-36,"BRASSIER CHAMELA ARENA, BLANCO",,wJvaMzjNi5D9bpzg,,32.90,0.00,0.00,A,stock_total_0
15972-XL,PANTY CHAMELA,,wJvaMzjNi5D9bpzg,,15.49,0.00,0.00,A,stock_total_0
16-50-3689,M. BERMUDA /DAMA ARTHUR&CAMPIE,16-50-3689,GEjb2BkltkW6bVNW,,24.26,0.00,0.00,A,stock_total_0
1613-12BC-2/52,TERNO P/CABALLEROS 2 BOTONES BRUNO CASSINI,1613-12BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,191.22,0.00,0.00,A,stock_total_0
1618-1190,JACKET Y PANTALON P/BEBE,,vj6e9M8KTmAxeWBV,,26.50,0.00,0.00,A,stock_total_0
1618-2/BLACK-8,ZAPATOS BRUNO CASSINI,1618-2/OBLACK-8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
1618-2/GRAY-7,ZAPATOS BRUNO CASSINI,1618-2/OGRAY-7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
1618-2/GRAY-7M,ZAPATOS BRUNO CASSINI,1618-2/OGRAY-7M,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
1637-7BC-2/52,TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI,1637-7BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
16392-M,PANTY CHAMELA,,wJvaMzjNi5D9bpzg,,16.90,0.00,0.00,A,stock_total_0
1647-11/52,LEVA P/CABALLERO BRUNO CASSINI,1647-11/O52,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,126.00,0.00,0.00,A,stock_total_0
1647-11BC-2/52,TERNO P/CABALLEROS 2 BOTONES BRUNO CASSINI,1647-11BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
1647-12/52,LEVA P/CABALLERO BRUNO CASSINI,1647-12/O52,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,126.00,0.00,0.00,A,stock_total_0
165,M.PANTY LYCRA/ENCAJE,,wJvaMzjNi5D9bpzg,,28.00,0.00,0.00,A,stock_total_0
16537,BLUSA ANGELA PLUS,,RYWb40xjCJE6bZ1m,,41.77,0.00,0.00,A,stock_total_0
16802-M,"PANTY CHAMELA ARENA, BLANCO, NEGRO",,wJvaMzjNi5D9bpzg,,15.90,0.00,0.00,A,stock_total_0
16820-32,"BRASSIER CHAMELA BLANCO, NEGRO",,wJvaMzjNi5D9bpzg,,32.90,0.00,0.00,A,stock_total_0
16822-S,"PANTY CHAMELA BLANCO, NEGRO",,wJvaMzjNi5D9bpzg,,14.49,0.00,0.00,A,stock_total_0
16830-34,"BRASSIER CHAMELA AZUL, ROSA",,wJvaMzjNi5D9bpzg,,39.90,0.00,0.00,A,stock_total_0
16830-36,"BRASSIER CHAMELA AZUL, ROSA",,wJvaMzjNi5D9bpzg,,39.90,0.00,0.00,A,stock_total_0
16840-34,BRASSIER CHAMELA TABACO,16840-34,wJvaMzjNi5D9bpzg,,35.90,0.00,0.00,A,stock_total_0
16884-L,BOXER CHAMELA,,wJvaMzjNi5D9bpzg,,14.90,0.00,0.00,A,stock_total_0
16884-M,BOXER CHAMELA CEREZA,,wJvaMzjNi5D9bpzg,,14.90,0.00,0.00,A,stock_total_0
