id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85689_66de6544,SH-NAP-WH-AZ/S,SHNAPWHAZ/OS,47.74,0.00
__export__.product_product_85690_d96e28ef,SH-NAP-WH-AZ/M,SHNAPWHAZ/OM,47.74,0.00
__export__.product_product_85691_10561a48,SH-NAP-WH-AZ/L,SHNAPWHAZ/OL,47.74,0.00
__export__.product_product_85692_1f269ef6,CAM-NAP-OV-AZ/S,CAMNAPOVAZ/OS,65.13,0.00
__export__.product_product_85693_656577be,CAM-NAP-OV-AZ/M,CAMNAPOVAZ/OM,65.13,0.00
__export__.product_product_85695_8012e72f,CAM-NAP-OV-BG/M,CAMNAPOVBG/OM,65.13,0.00
__export__.product_product_85694_8721e132,CAM-NAP-OV-BG/S,CAMNAPOVBG/OS,65.13,0.00
__export__.product_product_85697_1f2af058,ZP-CASSINI-PS-PT-BLK/6,ZPCASSINIPSPTBLK/O6,152.09,0.00
__export__.product_product_85696_8ca7ddfa,ZP-CASSINI-PS-PT-BLK/5.5,ZPCASSINIPSPTBLK/O5.5,152.09,0.00
__export__.product_product_85714_11de85da,ZP-50224-CASSINI-VN/10,ZP-50224-CASSINI-VN/10,152.09,0.00
__export__.product_product_85722_c78d1eb9,PT-25E27122-42/38,PT25E2712242/38,47.74,0.00
__export__.product_product_85721_b4f7c52f,PT-25E27122-42/36,PT25E2712242/36,47.74,0.00
__export__.product_product_85720_2e1c7557,PT-25E27122-42/34,PT25E2712242/34,47.74,0.00
__export__.product_product_85729_0bfa54f4,17605DC-14.5-S1,17605DC202591451,82.52,0.00
__export__.product_product_85731_177386a2,17605DC-15-S1,17605DC202591501,82.52,0.00
__export__.product_product_85732_7050c9ca,17605DC-15-S2,17605DC202591502,82.52,0.00
__export__.product_product_85733_d2cb8c6c,17605DC-15.5-S1,17605DC202591551,82.52,0.00
__export__.product_product_85734_ba2e0f88,17605DC-15.5-S2,17605DC202591552,82.52,0.00
__export__.product_product_85735_fad952f8,17605DC-16-S1,17605DC202591601,82.52,0.00
