id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88583_3c493487,tmpl_id,__import__.product_template_4s22009_2,4S22009-2-15.5-S1,4S220092231551,H. CAMISA P/S BRUNO CASSINI SKY BLUE ROMBO 34-35,"Talla: 15.5, Manga de Camisa: S1 - 32/33",56.44,0.00
__export__.product_product_88592_1267db8c,tmpl_id,__import__.product_template_cm0042dbu_f,CM0042DBU-F/L,C0042DBF231203,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88598_f2bf6ce1,tmpl_id,__import__.product_template_cm0042ryb_f,CM0042RYB-F/XL,C0042RYF231204,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88599_33537ef6,tmpl_id,__import__.product_template_cm0042ryb_f,CM0042RYB-F/XXL,C0042RYF231205,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88603_cec28d7e,tmpl_id,__import__.product_template_cm0042dgr_f,CM0042DGR-F/XL,C0042DGF231204,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88595_6475ce45,tmpl_id,__import__.product_template_cm0042ryb_f,CM0042RYB-F/S,C0042RYF231201,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88596_74b38e0f,tmpl_id,__import__.product_template_cm0042ryb_f,CM0042RYB-F/M,C0042RYF231202,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88597_f20c02c9,tmpl_id,__import__.product_template_cm0042ryb_f,CM0042RYB-F/L,C0042RYF231203,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88605_ba3cca9d,tmpl_id,__import__.product_template_cm0044wht_f,CM0044WHT-F/S,C0044WHF231201,H. CAMISA FRENCH SHIRT WHITE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88613_24f69a1e,tmpl_id,__import__.product_template_cm0044lbu_f,CM0044LBU-F/XXL,C0044LBF231205,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88609_02d3925e,tmpl_id,__import__.product_template_cm0044lbu_f,CM0044LBU-F/S,C0044LBF231201,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88612_10ce2dd3,tmpl_id,__import__.product_template_cm0044lbu_f,CM0044LBU-F/XL,C0044LBF231204,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88611_d7ab4358,tmpl_id,__import__.product_template_cm0044lbu_f,CM0044LBU-F/L,C0044LBF231203,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88610_9f8b3e71,tmpl_id,__import__.product_template_cm0044lbu_f,CM0044LBU-F/M,C0044LBF231202,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88616_66f9ea2c,tmpl_id,__import__.product_template_2011_1_f,2011-1-F/L,20111F20231203,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: L,73.83,0.00
__export__.product_product_88615_10bf1563,tmpl_id,__import__.product_template_2011_1_f,2011-1-F/M,20111F20231202,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: M,73.83,0.00
__export__.product_product_88614_c19a65fc,tmpl_id,__import__.product_template_2011_1_f,2011-1-F/S,20111F20231201,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: S,73.83,0.00
