Template External ID,Template Name,Source Variant External ID,Variant Attributes Key,Internal Reference,Barcode,Sales Price,Cost,Weight,Original Product Values
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_60,Color=Gris|Marca=Bruno Cassini|Talla=60,23E4246-16-PAT/60,23E424616202560PT,173.83,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_58,Color=Gris|Marca=Bruno Cassini|Talla=58,23E4246-16-PAT/58,23E424616202558PT,173.83,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_56,Color=Gris|Marca=Bruno Cassini|Talla=56,23E4246-16-PAT/56,23E424616202556PT,173.83,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_50,Color=Verde|Marca=Bruno Cassini|Talla=50,GEO1982-4/50,G19820420251250,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_48,Color=Verde|Marca=Bruno Cassini|Talla=48,GEO1982-4/48,G19820420251248,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_56,Color=Verde|Marca=Bruno Cassini|Talla=56,GEO1982-4/56,G19820420251256,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_46,Color=Verde|Marca=Bruno Cassini|Talla=46,GEO1982-4/46,G19820420251246,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_52,Color=Verde|Marca=Bruno Cassini|Talla=52,GEO1982-4/52,G19820420251252,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_60,Color=Verde|Marca=Bruno Cassini|Talla=60,GEO1982-4/60,G19820420251260,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_54,Color=Verde|Marca=Bruno Cassini|Talla=54,GEO1982-4/54,G19820420251254,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_geo1982_4,Leva GEO1982-4,adams_geo1982_4_58,Color=Verde|Marca=Bruno Cassini|Talla=58,GEO1982-4/58,G19820420251258,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_52,Color=Gris|Marca=Bruno Cassini|Talla=52,23E4246-16/52,23E424616202552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_54,Color=Gris|Marca=Bruno Cassini|Talla=54,23E4246-16/54,23E424616202554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_50,Color=Gris|Marca=Bruno Cassini|Talla=50,23E4246-16/50,23E424616202550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_48,Color=Gris|Marca=Bruno Cassini|Talla=48,23E4246-16/48,23E424616202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_46,Color=Gris|Marca=Bruno Cassini|Talla=46,23E4246-16/46,23E424616202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_58,Color=Gris|Marca=Bruno Cassini|Talla=58,23E4246-16/58,23E424616202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_60,Color=Gris|Marca=Bruno Cassini|Talla=60,23E4246-16/60,23E424616202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16,Leva 23E4246-16,adams_23e4246_16_56,Color=Gris|Marca=Bruno Cassini|Talla=56,23E4246-16/56,23E424616202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_60,Marca=Bruno Cassini|Talla=60,HD19152-23/60,HD1915223202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_58,Marca=Bruno Cassini|Talla=58,HD19152-23/58,HD1915223202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_56,Marca=Bruno Cassini|Talla=56,HD19152-23/56,HD1915223202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_52,Marca=Bruno Cassini|Talla=52,HD19152-23/52,HD1915223202552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_54,Marca=Bruno Cassini|Talla=54,HD19152-23/54,HD1915223202554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_50,Marca=Bruno Cassini|Talla=50,HD19152-23/50,HD1915223202550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_48,Marca=Bruno Cassini|Talla=48,HD19152-23/48,HD1915223202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_23,Leva HD19152-23,adams_hd19152_23_46,Marca=Bruno Cassini|Talla=46,HD19152-23/46,HD1915223202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_60,Color=Verde|Marca=Bruno Cassini|Talla=60,23E4246-4-PAT/60,23E424604202560PT,173.83,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Verde"
