Internal Reference,name_odoo,qty_available,barcode
1012065-RJ/L,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,0.0,1012065-RJ/OL
1012065-RJ/M,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,0.0,1012065-RJ/OM
1012065-RJ/S,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,0.0,1012065-RJ/OS
1012065-RJ/XS,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,0.0,1012065-RJ/XS
1012080,FALDA P/DAMA MODELO,0.0,1012080
1012137,PANTALON PARA DAMA MODELO,0.0,1012137
1012138,CHAQUELA M/L PARA DAMA MODELO,0.0,1012138
1017N,12V; IP65; 2W*3 LEDS COVER STEEL 3000-3500K,0.0,1017N
104-42647,SEWTER NINA,0.0,104-42647
104-42771,SWETER NINA 2 AL 8,0.0,104-42771
1046,FASHION ONE FALDA,0.0,1046
11303-14.5-S1,Camisa 11303,0.0,11303202591451
11303-15-S1,Camisa 11303,0.0,11303202591501
11303-15-S2,Camisa 11303,0.0,11303202591502
11303-15.5-S1,Camisa 11303,0.0,11303202591551
11303-15.5-S2,Camisa 11303,0.0,11303202591552
11303-16-S1,Camisa 11303,0.0,11303202591601
11303-16-S2,Camisa 11303,0.0,11303202591602
11303-16.5-S1,Camisa 11303,0.0,11303202591651
11303-16.5-S2,Camisa 11303,0.0,11303202591652
11303-17-S1,Camisa 11303,0.0,11303202591701
11303-17-S2,Camisa 11303,0.0,11303202591702
11303-17.5-S2,Camisa 11303,0.0,11303202591752
11304-14.5-S1,Camisa 11304,0.0,11304202591451
11304-15-S1,Camisa 11304,0.0,11304202591501
11304-15-S2,Camisa 11304,0.0,11304202591502
11304-15.5-S1,Camisa 11304,0.0,11304202591551
11304-15.5-S2,Camisa 11304,0.0,11304202591552
11304-16-S1,Camisa 11304,0.0,11304202591601
11304-16-S2,Camisa 11304,0.0,11304202591602
11304-16.5-S1,Camisa 11304,0.0,11304202591651
11304-16.5-S2,Camisa 11304,0.0,11304202591652
11304-17-S1,Camisa 11304,0.0,11304202591701
11304-17-S2,Camisa 11304,0.0,11304202591702
11304-17.5-S2,Camisa 11304,0.0,11304202591752
11701-15.5-S1,Camisa 11701,0.0,117012022011551
