Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
CAMISA,CAMISA,082845-01EC/15.5,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,3.00,39.00
CAMISA,CAMISA,082845-01EC/16,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,8.00,104.00
CAMISA,CAMISA,082845-01EC/17.5,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,2.00,26.00
CAMISA,CAMISA,082845-01EC/18,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,1.00,13.00
CAMISA,CAMISA,082845-01EC/20,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,1.00,13.00
CAMISA,CAMISA,1-18-14.5-S1,20240307-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,12.79,0.00,1.00,12.79
CAMISA,CAMISA,1-18-15.5-S1,20240307-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,12.79,0.00,1.00,12.79
CAMISA,CAMISA,1-18-16.5-S2,20240307-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI PURPLE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,12.79,0.00,1.00,12.79
CAMISA,CAMISA,1-18-17-S1,20240307-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,12.79,0.00,1.00,12.79
ROPA DE NIÑOS,ROPA DE NIÑOS,10-22965,,PIJAMA PARA NINA,,Unidad,,13.25,0.00,1.00,13.25
ROPA DE NIÑOS,ROPA DE NIÑOS,10-2996,,SET TOP Y PANTALON (6-24M),,Unidad,,8.96,0.00,1.00,8.96
ROPA DE NIÑOS,ROPA DE NIÑOS,10-3000,,SET/TOP Y PANTALON (6-24M),,Unidad,,8.96,0.00,1.00,8.96
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-18-216BC-2/56,20230525-CASSINI-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ ROYAL BLUE,,Unidad,CASSINI TERNOS - CABALLEROS,45.71,0.00,3.00,137.13
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-18-217BC-2/56,20230525-CASSINI-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI,,Unidad,CASSINI TERNOS - CABALLEROS,45.71,0.00,2.00,91.42
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-18-498-BC-2/46,20230915-DONGYANG-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,50.75,0.00,7.00,355.25
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-18-498-BC-2/56,20230915-DONGYANG-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,48.46,0.00,3.00,145.38
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-18-498-BC-2/58,20230915-DONGYANG-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,48.73,0.00,1.00,48.73
TERNO / CABALLERO ,TERNO / CABALLERO ,10036A-8-495-BC-2/56,20230525-CASSINI-TERNOS,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ PRUSSIAN BLUE,,Unidad,CASSINI TERNOS - CABALLEROS,45.71,0.00,2.00,91.42
FALDA ,FALDA ,1010930,PANAMA - PRESTIGE OCT. 2018,FALDA P/DAMA,,Unidad,PRESTIGE DAMA OCT. 18,11.65,0.00,2.00,23.30
PANTALON / DAMA ,PANTALON / DAMA ,1011830,PANAMA - PRESTIGE OCT. 2018,PANTALON PARA DAMA MODELO,,Unidad,PRESTIGE DAMA OCT. 18,17.43,0.00,6.00,104.58
PANTALON / DAMA ,PANTALON / DAMA ,1011954,PANAMA - PRESTIGE OCT. 2018,PANTALON PARA DAMA,,Unidad,PRESTIGE DAMA OCT. 18,17.43,0.00,2.00,34.86
PANTALON / DAMA ,PANTALON / DAMA ,1012035,PANAMA - PRESTIGE OCT. 2018,PANTALON PARA DAMA MODELO,,Unidad,PRESTIGE DAMA OCT. 18,17.43,0.00,6.00,104.58
BLUSA,BLUSA,1012065-AZ/XS,,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA XS,,Unidad,PRESTIGE DAMA OCT. 18,17.21,0.00,1.00,17.21
BLUSA,BLUSA,1012065-RJ/S,,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA S,,Unidad,PRESTIGE DAMA OCT. 18,17.21,0.00,1.00,17.21
BLUSA,BLUSA,1012065-RJ/XS,,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA XS,,Unidad,PRESTIGE DAMA OCT. 18,17.21,0.00,2.00,34.42
FALDA ,FALDA ,1012080,PANAMA - PRESTIGE OCT. 2018,FALDA P/DAMA MODELO,,Unidad,PRESTIGE DAMA OCT. 18,11.65,0.00,4.00,46.60
PANTALON / DAMA ,PANTALON / DAMA ,1012137,PANAMA - PRESTIGE OCT. 2018,PANTALON PARA DAMA MODELO,,Unidad,PRESTIGE DAMA OCT. 18,11.87,0.00,1.00,11.87
CHAQUETA,CHAQUETA,1012138,PANAMA - PRESTIGE OCT. 2018,CHAQUELA M/L PARA DAMA MODELO,,Unidad,PRESTIGE DAMA OCT. 18,31.01,0.00,1.00,31.01
ILUMINACIÓN,ILUMINACIÓN,10133-F,,LIGTH 12V; IP65; 52MM; H:8MM; W//BLACK COVER; STAINLESS STEE,,Unidad,,6.07,0.00,3.00,18.21
ILUMINACIÓN,ILUMINACIÓN,1017N,LED-2017-10,12V; IP65; 2W*3 LEDS COVER STEEL 3000-3500K,,Unidad,,12.98,0.00,25.00,324.50
ROPA DE NIÑOS,ROPA DE NIÑOS,104-42647,,SEWTER NINA,,Unidad,,3.50,0.00,5.00,17.50
ROPA DE NIÑOS,ROPA DE NIÑOS,104-42771,,SWETER NINA 2 AL 8,,Unidad,,3.50,0.00,1.00,3.50
FALDA ,FALDA ,1046,,FASHION ONE FALDA,,Unidad,,24.00,0.00,1.00,24.00
VESTIDO,VESTIDO,10637,20200204-MEYMOR,VESTIDO CORTO P/DAMA BLACK,,Unidad,,35.00,0.00,1.00,35.00
BLUSA,BLUSA,10896T/M,20191205-AURADEFAS,BLUSA IDEM DITTO TALLA M,,Unidad,,22.73,0.00,1.00,22.73
PANTALON / CABALLERO ,PANTALON / CABALLERO ,109-7037BL,,H. PANTALON BLACK TED LAPIDUS,,Unidad,TED LAPIDUS PANTALON P/CABALLERO,13.00,0.00,1.00,13.00
TOP / DAMAS,TOP / DAMAS,1100-BG/M,20220827-FATCARD-EEUU,M. TOP P/DAMA BEIGE,,Unidad,,7.21,0.00,8.00,57.68
TOP / DAMAS,TOP / DAMAS,1100-BL/M,20220827-FATCARD-EEUU,M. TOP P/DAMA BLACK,,Unidad,,7.21,0.00,4.00,28.84
CAMISA,CAMISA,11303-14.5-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,9.00,95.04
CAMISA,CAMISA,11303-15-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,4.00,42.24
CAMISA,CAMISA,11303-15-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,4.00,42.24
CAMISA,CAMISA,11303-15.5-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,9.00,95.04
CAMISA,CAMISA,11303-15.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,9.00,95.04
CAMISA,CAMISA,11303-16-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,5.00,52.80
