External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_43500_am,BRASIER ESENCIAL ST. EVEN (43500_am),Goods,Sin Categoria,30.35,0.00,True,True,True,True,Talla,36,always
product_template_43500_bl,BRASIER ESENCIAL ST-EVEN,Goods,Sin Categoria,30.35,0.00,True,True,True,True,Talla,32,always
product_template_43510,Terno 43510,Goods,Sin Categoria,23.39,0.00,True,True,True,True,Talla,34,always
product_template_43510,Terno 43510,Goods,Sin Categoria,23.39,0.00,True,True,True,True,Color,Negro,no_variant
product_template_43541,BRASILERA ROMANTICA,Goods,Sin Categoria,16.43,0.00,True,True,True,True,Talla,L,always
product_template_41680,BRASIER ROMANTICO ST. EVEN,Goods,Sin Categoria,25.13,0.00,True,True,True,True,Talla,34,always
product_template_16350,Terno 16350,Goods,Sin Categoria,25.13,0.00,True,True,True,True,Talla,34,always
product_template_16360,"BRASSIER CHAMELA BLANCO, MORADO",Goods,Sin Categoria,26.00,0.00,True,True,True,True,Talla,34,always
product_template_16360,"BRASSIER CHAMELA BLANCO, MORADO",Goods,Sin Categoria,26.00,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_16380,BRASSIER CHAMELA,Goods,Sin Categoria,41.65,0.00,True,True,True,True,Talla,34,always
product_template_16834,"BOXER CHAMELA AZUL, ROSA",Goods,Sin Categoria,25.13,0.00,True,True,True,True,Talla,L,always
product_template_16834,"BOXER CHAMELA AZUL, ROSA",Goods,Sin Categoria,25.13,0.00,True,True,True,True,Color,Azul,no_variant
product_template_16900,BRASSIER CHAMELA ROSA,Goods,Sin Categoria,27.59,0.00,True,True,True,True,Talla,34,always
product_template_16904,BOXER CHAMELA ROSA,Goods,Sin Categoria,16.43,0.00,True,True,True,True,Talla,M,always
product_template_17910_bl,BRASSIER CHAMELA (BLANCO),Goods,Sin Categoria,37.80,0.00,True,True,True,True,Talla,34,always
product_template_17910_bl,BRASSIER CHAMELA (BLANCO),Goods,Sin Categoria,37.80,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_17910_ne,BRASSIER CHAMELA (NEGRO),Goods,Sin Categoria,37.80,0.00,True,True,True,True,Talla,34,always
product_template_17910_ne,BRASSIER CHAMELA (NEGRO),Goods,Sin Categoria,37.80,0.00,True,True,True,True,Color,Negro,no_variant
product_template_17911_bl,BRASILERA CHAMELA (BLANCO),Goods,Sin Categoria,13.30,0.00,True,True,True,True,Talla,M,always
product_template_17911_bl,BRASILERA CHAMELA (BLANCO),Goods,Sin Categoria,13.30,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_15290,BRASSIER CHAMELA (15290),Goods,Sin Categoria,33.83,0.00,True,True,True,True,Talla,32,always
product_template_12110black,M.BRASSIERE CHAMELA,Goods,Sin Categoria,18.17,0.00,True,True,True,True,Talla,34,always
