Product Template External ID,Product Template Name,Internal Reference,Barcode,Talla,Color,Manga de Camisa,Ancho Corbata,Marca,Sales Price,Cost,Product Category
product_template_mf3870_114,Corbata MF3870/114,MF3870/114-6,MF3870/O114-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_113,Corbata MF3870/113,MF3870/113-6,MF3870/O113-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_109,Corbata MF3870/109,MF3870/109-6,MF3870/O109-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_104,Corbata MF3870/104,MF3870/104-6,MF3870/O104-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_100,Corbata MF3870/100,MF3870/100-6,MF3870/O100-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_90,Corbata MF3870/90,MF3870/90-6,MF3870/O90-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_47,Corbata P1288/47,P1288/47-6,P1288/O47-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_43,Corbata P1288/43,P1288/43-6,P1288/O43-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_37,Corbata P1288/37,P1288/37-6,P1288/O37-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_36,Corbata P1288/36,P1288/36-6,P1288/O36-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_35,Corbata P1288/35,P1288/35-6,P1288/O35-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_31,Corbata P1288/31,P1288/31-6,P1288/O31-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_15,Corbata P1288/15,P1288/15-6,P1288/O15-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12162_10,Corbata MF12162/10,MF12162/10-7,MF12162/O10-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12162_5,Corbata MF12162/5,MF12162/5-7,MF12162/O5-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12162_3,Corbata MF12162/3,MF12162/3-7,MF12162/O3-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_11,Corbata MF12160/11,MF12160/11-7,MF12160/O11-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_9,Corbata MF12160/9,MF12160/9-7,MF12160/O9-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_8,Corbata MF12160/8,MF12160/8-7,MF12160/O8-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_6,Corbata MF12160/6,MF12160/6-7,MF12160/O6-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_47,Corbata P1290/47,P1290/47-7,P1290/O47-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_45,Corbata P1290/45,P1290/45-7,P1290/O45-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_38,Corbata P1290/38,P1290/38-7,P1290/O38-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_37,Corbata P1290/37,P1290/37-7,P1290/O37-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_36,Corbata P1290/36,P1290/36-7,P1290/O36-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_35,Corbata P1290/35,P1290/35-7,P1290/O35-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_34,Corbata P1290/34,P1290/34-7,P1290/O34-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_13,Corbata P1290/13,P1290/13-7,P1290/O13-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_10,Corbata P1290/10,P1290/10-7,P1290/O10-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_6,Corbata P1290/6,P1290/6-7,P1290/O6-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_19,Corbata MF3870/19,MF3870/19-7,MF3870202319701,,Azul,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_13,Corbata MF3870/13,MF3870/13-7,MF3870/O13-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_11,Corbata MF3870/11,MF3870/11-7,MF3870202311701,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_9,Corbata MF3870/9,MF3870/9-7,MF3870/O9-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_3,Corbata MF3870/3,MF3870/3-7,MF3870/O3-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_1,Corbata MF3870/1,MF3870/1-7,MF3870202301701,,Rojo,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_66,Corbata MF3870/66,MF3870/66-7,MF3870/O66-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_57,Corbata MF3870/57,MF3870/57-7,MF3870/O57-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_54,Corbata MF3870/54,MF3870/54-7,MF3870/O54-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_45,Corbata MF3870/45,MF3870/45-7,MF3870202345701,,Azul,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_115,Corbata MF3870/115,MF3870/115-7,MF3870/O115-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_114,Corbata MF3870/114,MF3870/114-7,MF3870/O114-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_113,Corbata MF3870/113,MF3870/113-7,MF3870/O113-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_109,Corbata MF3870/109,MF3870/109-7,MF3870/O109-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_104,Corbata MF3870/104,MF3870/104-7,MF3870/O104-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_100,Corbata MF3870/100,MF3870/100-7,MF3870/O100-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_90,Corbata MF3870/90,MF3870/90-7,MF3870/O90-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_47,Corbata P1288/47,P1288/47-7,P1288/O47-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_43,Corbata P1288/43,P1288/43-7,P1288/O43-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_37,Corbata P1288/37,P1288/37-7,P1288/O37-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_36,Corbata P1288/36,P1288/36-7,P1288/O36-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_35,Corbata P1288/35,P1288/35-7,P1288/O35-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_31,Corbata P1288/31,P1288/31-7,P1288/O31-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1288_15,Corbata P1288/15,P1288/15-7,P1288/O15-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12137_11,Corbata MF12137/11,MF12137/11-7,MF12137/O11-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12137_2,Corbata MF12137/2,MF12137/2-7,MF12137/O2-7,,,,7 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870,Set Corbatín + Faja MF3870/19,MF3870/19-FJ,MF3870/O19-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12150,Set Corbatín + Faja MF12150/7,MF12150/7-FJ,MF12150/O7-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12150,Set Corbatín + Faja MF12150/4,MF12150/4-FJ,MF12150/O4-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12022,Set Corbatín + Faja MF12022/12,MF12022/12-FJ,MF12022/O12-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12022,Set Corbatín + Faja MF12022/9,MF12022/9-FJ,MF12022/O9-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12022,Set Corbatín + Faja MF12022/6,MF12022/6-FJ,MF12022/O6-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
product_template_mf12022,Set Corbatín + Faja MF12022/5,MF12022/5-FJ,MF12022/O5-FJ,,,,,Bruno Cassini,41.65,0.00,Ropa / Hombres / Fajines
