product_tmpl_id/id,Internal Reference,Name,Variant Values,Sales Price,Cost
__import__.product_template_cmst_cv_b90_002wi,CMST-CV-B90-002WI/S,H. CAMISETA P/CABALLEROS WINE CARVEN,Talla: S,8.61,0.00
__import__.product_template_cmst_cv_b90_002gu,CMST-CV-B90-002GU/S,H. CAMISETA P/CABALLEROS CARVEN,Talla: S,8.61,0.00
__import__.product_template_cmst_cv_b90_001rd,CMST-CV-B90-001RD/S,H. CAMISETA CARVEN RED CARVEN,Talla: S,8.61,0.00
__import__.product_template_cmst_cv_b90_001rd,CMST-CV-B90-001RD/M,H. CAMISETA CARVEN RED CARVEN,Talla: M,8.61,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/46,Terno 24C25168-219-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/46,Terno 24C27428-65-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/48,Terno 24C27428-65-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/50,Terno 24C27428-65-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/52,Terno 24C27428-65-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/54,Terno 24C27428-65-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/56,Terno 24C27428-65-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c27428_65_bc_2,24C27428-65-BC-2/58,Terno 24C27428-65-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/58,Terno 24C25168-219-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/54,Terno 24C29918-10-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/56,Terno 24C29918-10-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/58,Terno 24C29918-10-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/46,Terno 24C29918-12-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/48,Terno 24C29918-12-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/50,Terno 24C29918-12-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/52,Terno 24C29918-12-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/54,Terno 24C29918-12-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/56,Terno 24C29918-12-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_12_bc_2,24C29918-12-BC-2/58,Terno 24C29918-12-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/46,Terno 24C29918-13-BC-2,Talla: 46,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/48,Terno 24C29918-13-BC-2,Talla: 48,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/50,Terno 24C29918-13-BC-2,Talla: 50,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/52,Terno 24C29918-13-BC-2,Talla: 52,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/54,Terno 24C29918-13-BC-2,Talla: 54,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/56,Terno 24C29918-13-BC-2,Talla: 56,260.78,0.00
__import__.product_template_24c29918_13_bc_2,24C29918-13-BC-2/58,Terno 24C29918-13-BC-2,Talla: 58,260.78,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/46,Terno 24C29918-15-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/48,Terno 24C29918-15-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/50,Terno 24C29918-15-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/52,Terno 24C29918-15-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/54,Terno 24C29918-15-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/56,Terno 24C29918-15-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_15_bc_2,24C29918-15-BC-2/58,Terno 24C29918-15-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/46,Terno 24C29918-16-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/48,Terno 24C29918-16-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/50,Terno 24C29918-16-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/52,Terno 24C29918-16-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/54,Terno 24C29918-16-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/56,Terno 24C29918-16-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_16_bc_2,24C29918-16-BC-2/58,Terno 24C29918-16-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/46,Terno 24C29918-19-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/48,Terno 24C29918-19-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/50,Terno 24C29918-19-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/52,Terno 24C29918-19-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/54,Terno 24C29918-19-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/56,Terno 24C29918-19-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/48,Terno 24C25168-219-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/50,Terno 24C25168-219-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/52,Terno 24C25168-219-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/54,Terno 24C25168-219-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c25168_219_bc_2,24C25168-219-BC-2/56,Terno 24C25168-219-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/46,Terno 24C29918-10-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/48,Terno 24C29918-10-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/50,Terno 24C29918-10-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_10_bc_2,24C29918-10-BC-2/52,Terno 24C29918-10-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_19_bc_2,24C29918-19-BC-2/58,Terno 24C29918-19-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/46,Terno 24C29918-20-BC-2,Talla: 46,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/48,Terno 24C29918-20-BC-2,Talla: 48,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/50,Terno 24C29918-20-BC-2,Talla: 50,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/52,Terno 24C29918-20-BC-2,Talla: 52,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/54,Terno 24C29918-20-BC-2,Talla: 54,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/56,Terno 24C29918-20-BC-2,Talla: 56,243.39,0.00
__import__.product_template_24c29918_20_bc_2,24C29918-20-BC-2/58,Terno 24C29918-20-BC-2,Talla: 58,243.39,0.00
__import__.product_template_24es296_4_bc_2,24ES296-4-BC-2/52,Terno 24ES296-4-BC-2,Talla: 52,260.78,0.00
__import__.product_template_24es296_4_bc_2,24ES296-4-BC-2/50,Terno 24ES296-4-BC-2,Talla: 50,260.78,0.00
__import__.product_template_24es296_4_bc_2,24ES296-4-BC-2/48,Terno 24ES296-4-BC-2,Talla: 48,260.78,0.00
__import__.product_template_24es296_4_bc_2,24ES296-4-BC-2/46,Terno 24ES296-4-BC-2,Talla: 46,260.78,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/9.5,Zapato ZP-LOAFER-H-BRW,Talla: 9.5,152.09,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/9,Zapato ZP-LOAFER-H-BRW,Talla: 9,152.09,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/8.5,Zapato ZP-LOAFER-H-BRW,Talla: 8.5,152.09,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/8,Zapato ZP-LOAFER-H-BRW,Talla: 8,152.09,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/7.5,Zapato ZP-LOAFER-H-BRW,Talla: 7.5,152.09,0.00
__import__.product_template_zp_loafer_h_brw,ZP-LOAFER-H-BRW/7,Zapato ZP-LOAFER-H-BRW,Talla: 7,152.09,0.00
__import__.product_template_cam_m_l_firenze_azul,CAM-M/L-FIRENZE-AZUL/L,CAMISA M/L FIRENZE AZUL,Talla: L,65.13,0.00
__import__.product_template_cam_m_l_firenze_azul,CAM-M/L-FIRENZE-AZUL/M,CAMISA M/L FIRENZE AZUL,Talla: M,65.13,0.00
__import__.product_template_cam_m_l_firenze_black,CAM-M/L-FIRENZE-BLACK/L,CAMISA M/L FIRENZE BLACK,Talla: L,65.13,0.00
__import__.product_template_cam_m_l_firenze_black,CAM-M/L-FIRENZE-BLACK/M,CAMISA M/L FIRENZE BLACK,Talla: M,65.13,0.00
__import__.product_template_cam_m_l_firenze_black,CAM-M/L-FIRENZE-BLACK/S,CAMISA M/L FIRENZE BLACK,Talla: S,65.13,0.00
__import__.product_template_cha_milano_beige,CHA-MILANO BEIGE-M,CHALECO MILANO BEIGE,Talla: M,58.17,0.00
__import__.product_template_cha_milano_beige,CHA-MILANO BEIGE-L,CHALECO MILANO BEIGE,Talla: L,58.17,0.00
__import__.product_template_cha_milano_blanco,CHA-MILANO BLANCO-M,CHALECO MILANO BLANCO,Talla: M,52.09,0.00
__import__.product_template_cha_milano_blanco,CHA-MILANO BLANCO-S,CHALECO MILANO BLANCO,Talla: S,52.09,0.00
__import__.product_template_cha_milano_azul,CHA-MILANO AZUL-M,CHALECO MILANO AZUL,Talla: M,52.09,0.00
__import__.product_template_cha_milano_azul,CHA-MILANO AZUL-S,CHALECO MILANO AZUL,Talla: S,52.09,0.00
__import__.product_template_cam_roma_beige,CAM. ROMA BEIGE-S,CAMISA M/C DAMA ROMA BEIGE,Talla: S,47.74,0.00
__import__.product_template_cam_roma_beige,CAM. ROMA BEIGE-M,CAMISA M/C DAMA ROMA BEIGE,Talla: M,47.74,0.00
__import__.product_template_cam_roma_blanco,CAM. ROMA BLANCO-S,CAMISA M/C DAMA ROMA BLANCO,Talla: S,44.26,0.00
__import__.product_template_cam_roma_blanco,CAM. ROMA BLANCO-M,CAMISA M/C DAMA ROMA BLANCO,Talla: M,44.26,0.00
__import__.product_template_cam_roma_azul,CAM. ROMA AZUL-L,CAMISA M/C DAMA ROMA AZUL,Talla: L,44.26,0.00
__import__.product_template_cam_roma_azul,CAM. ROMA AZUL-M,CAMISA M/C DAMA ROMA AZUL,Talla: M,44.26,0.00
__import__.product_template_cam_roma_azul,CAM. ROMA AZUL-S,CAMISA M/C DAMA ROMA AZUL,Talla: S,44.26,0.00
__import__.product_template_cam_roma_black,CAM. ROMA BLACK-M,CAMISA M/C DAMA ROMA NEGRO,Talla: M,44.26,0.00
__import__.product_template_cam_roma_black,CAM. ROMA BLACK-L,CAMISA M/C DAMA ROMA NEGRO,Talla: L,44.26,0.00
__import__.product_template_pant_milano_beige,PANT-MILANO BEIGE-L,PANTALON ELEGANTE MILANO BEIGE,Talla: L,71.22,0.00
__import__.product_template_pant_milano_beige,PANT-MILANO BEIGE-M,PANTALON ELEGANTE MILANO BEIGE,Talla: M,71.22,0.00
__import__.product_template_pant_milano_beige,PANT-MILANO BEIGE-S,PANTALON ELEGANTE MILANO BEIGE,Talla: S,71.22,0.00
__import__.product_template_pant_milano_black,PANT-MILANO BLACK-L,PANTALON ELEGANTE MILANO NEGRO,Talla: L,67.74,0.00
__import__.product_template_pant_milano_black,PANT-MILANO BLACK-M,PANTALON ELEGANTE MILANO NEGRO,Talla: M,67.74,0.00
__import__.product_template_pant_milano_black,PANT-MILANO BLACK-S,PANTALON ELEGANTE MILANO NEGRO,Talla: S,67.74,0.00
__import__.product_template_pant_milano_blanco,PANT-MILANO BLANCO-L,PANTALON ELEGANTE MILANO BLANCO,Talla: L,67.74,0.00
__import__.product_template_pant_milano_blanco,PANT-MILANO BLANCO-M,PANTALON ELEGANTE MILANO BLANCO,Talla: M,67.74,0.00
__import__.product_template_pant_milano_blanco,PANT-MILANO BLANCO-S,PANTALON ELEGANTE MILANO BLANCO,Talla: S,67.74,0.00
__import__.product_template_pant_capri_beige,PANT-CAPRI BEIGE-XS,PANTALON CON ELASTICO CAPRI BEIGE,Talla: XS,71.22,0.00
__import__.product_template_pant_capri_beige,PANT-CAPRI BEIGE-S,PANTALON CON ELASTICO CAPRI BEIGE,Talla: S,71.22,0.00
__import__.product_template_pant_capri_beige,PANT-CAPRI BEIGE-M,PANTALON CON ELASTICO CAPRI BEIGE,Talla: M,71.22,0.00
__import__.product_template_pant_capri_blanco,PANT-CAPRI BLANCO-S,PANTALON CON ELASTICO CAPRI BLANCO,Talla: S,65.13,0.00
__import__.product_template_pant_capri_blanco,PANT-CAPRI BLANCO-M,PANTALON CON ELASTICO CAPRI BLANCO,Talla: M,65.13,0.00
__import__.product_template_pant_capri_blanco,PANT-CAPRI BLANCO-L,PANTALON CON ELASTICO CAPRI BLANCO,Talla: L,65.13,0.00
__import__.product_template_pant_capri_black,PANT-CAPRI BLACK-L,PANTALON CON ELASTICO CAPRI NEGRO,Talla: L,65.13,0.00
