sku,nombre_contifico,problema,sugerencia,raw_categoria_id,raw_marca_nombre,raw_codigo_barra
24C29918-13-BC-2/46,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132494628
24C29918-12-BC-2/58,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122495840
24C29918-12-BC-2/56,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122495638
24C29918-12-BC-2/54,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122495436
24C29918-12-BC-2/52,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122495234
24C29918-12-BC-2/50,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122495032
24C29918-12-BC-2/48,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122494830
24C29918-12-BC-2/46,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918122494628
200-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,200202491752
8502-15-S1,H. CAMISA P/S LT PINK BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,8502202491501
5305-16.5-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,5305202491651
5305-16.5-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,5305202491652
5305-15.5-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,5305202491552
A126-3-15.5-S2,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1263202491552
A126-3-16.5-S1,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1263202491651
A126-3-16.5-S2,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1263202491652
A126-3-17-S1,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1263202491701
A126-3-17-S2,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1263202491702
16701-16.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,16701202491651
16701-16.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,16701202491652
A156-1-17-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491702
A156-1-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491752
A156-1-17-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491701
A151-1-17-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491702
A151-1-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491752
30201-15.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491552
30201-15.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491551
A156-1-15.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491551
A156-1-16.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491651
30201-16-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491601
