stock_internal_reference,location,inventory_quantity,reason
4BSB8102-010/36X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4BSB8102-464/36X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4BMB5345-238/38X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4BMB5345-485/30X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
43FW2005,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
43SW8093,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
273-1,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
15/FA4470010,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
109-7037BL,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
11940 (32),BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
10133-F,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
03/FA700008W140,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
03/FA700010,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
01/FA760005,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
01/FA800009,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
